iter	Passed	Remaining
0	59	59277
1	59	29817
2	60	19950
3	60	15016
4	60	12052
5	60	10086
6	61	8676
7	61	7616
8	61	6790
9	61	6129
10	62	5591
11	62	5141
12	62	4759
13	62	4432
14	63	4148
15	63	3900
16	63	3681
17	63	3486
18	64	3314
19	64	3157
20	64	3016
21	64	2888
22	65	2774
23	65	2667
24	65	2568
25	66	2477
26	66	2393
27	66	2315
28	67	2247
29	67	2179
30	67	2114
31	67	2054
32	68	1998
33	68	1943
34	68	1892
35	68	1845
36	69	1800
37	69	1757
38	69	1716
39	69	1677
40	70	1640
41	70	1605
42	70	1572
43	70	1540
44	71	1509
45	71	1480
46	71	1452
47	71	1425
48	72	1399
49	72	1375
50	72	1352
51	72	1330
52	73	1309
53	73	1289
54	73	1271
55	74	1251
56	74	1234
57	74	1216
58	75	1198
59	75	1180
60	75	1163
61	75	1149
62	76	1133
63	76	1118
64	76	1103
65	76	1089
66	77	1075
67	77	1061
68	77	1048
69	77	1036
70	78	1023
71	78	1011
72	78	999
73	78	988
74	79	976
75	79	966
76	79	955
77	79	945
78	80	934
79	80	925
80	80	916
81	81	907
82	81	896
83	81	887
84	81	878
85	81	869
86	82	861
87	82	852
88	82	844
89	82	836
90	82	828
91	83	822
92	83	815
93	83	808
94	84	801
95	84	794
96	84	787
97	84	780
98	85	774
99	85	767
100	85	761
101	85	755
102	86	748
103	86	742
104	86	737
105	86	731
106	86	725
107	87	720
108	87	714
109	87	709
110	87	704
111	88	698
112	88	693
113	88	688
114	88	683
115	89	680
116	89	676
117	89	672
118	90	667
119	90	662
120	90	658
121	90	653
122	91	648
123	91	644
124	91	640
125	91	636
126	91	632
127	92	628
128	92	624
129	92	620
130	92	616
131	93	612
132	93	608
133	93	605
134	93	601
135	94	598
136	94	594
137	94	591
138	94	587
139	95	584
140	95	580
141	95	576
142	95	573
143	96	570
144	96	567
145	96	564
146	96	561
147	97	558
148	97	555
149	97	552
150	97	549
151	98	546
152	98	544
153	98	541
154	98	538
155	98	535
156	99	532
157	99	529
158	99	527
159	99	524
160	100	521
161	100	518
162	100	516
163	100	513
164	101	511
165	101	509
166	101	506
167	101	504
168	102	501
169	102	499
170	102	496
171	102	494
172	102	492
173	103	489
174	103	487
175	103	485
176	104	483
177	104	481
178	104	480
179	105	478
180	105	476
181	105	474
182	105	472
183	106	470
184	106	468
185	106	466
186	106	464
187	107	462
188	107	460
189	107	458
190	107	456
191	108	454
192	108	452
193	108	450
194	108	448
195	108	447
196	109	445
197	109	443
198	109	441
199	109	439
200	110	438
201	110	436
202	110	434
203	110	432
204	111	431
205	111	430
206	111	428
207	112	426
208	112	424
209	112	423
210	112	421
211	113	420
212	113	418
213	113	416
214	113	415
215	113	413
216	114	412
217	114	410
218	114	408
219	114	407
220	115	405
221	115	404
222	115	402
223	115	401
224	116	399
225	116	398
226	116	397
227	116	395
228	117	394
229	117	392
230	117	391
231	117	389
232	117	388
233	118	386
234	118	385
235	118	384
236	118	382
237	119	381
238	119	380
239	119	378
240	119	377
241	120	376
242	120	375
243	120	374
244	121	373
245	121	371
246	121	370
247	121	369
248	122	368
249	122	366
250	122	365
251	122	364
252	123	363
